S.No.;District Code;District Name          (In English)   ;Block Code; Block Version;Block Name                      (In English);Block Name                           (In Local)
1;466;AHMEDNAGAR;4277;1;AKOLE;
2;466;AHMEDNAGAR;4278;1;JAMKHED;
3;466;AHMEDNAGAR;4279;1;KARJAT;
4;466;AHMEDNAGAR;4280;1;KOPARGAON;
5;466;AHMEDNAGAR;4281;1;NAGAR;
6;466;AHMEDNAGAR;4282;1;NEVASA;
7;466;AHMEDNAGAR;4283;1;PARNER;
8;466;AHMEDNAGAR;4284;1;PATHARDI;
9;466;AHMEDNAGAR;4285;1;RAHATA;
10;466;AHMEDNAGAR;4286;1;RAHURI;
11;466;AHMEDNAGAR;4287;1;SANGAMNER;
12;466;AHMEDNAGAR;4288;1;SHEVGAON;
13;466;AHMEDNAGAR;4289;1;SHRIGONDA;
14;466;AHMEDNAGAR;4290;1;SHRIRAMPUR;
15;467;AKOLA;4291;1;AKOLA;
16;467;AKOLA;4292;1;AKOT;
17;467;AKOLA;4293;1;BALAPUR;
18;467;AKOLA;4294;1;BARSHITAKLI;
19;467;AKOLA;4295;1;MURTIJAPUR;
20;467;AKOLA;4296;1;PATUR;
21;467;AKOLA;4297;1;TELHARA;
22;468;AMRAVATI;4298;1;ACHALPUR;
23;468;AMRAVATI;4299;1;AMRAVATI;
24;468;AMRAVATI;4300;1;ANJANGAON S;
25;468;AMRAVATI;4301;1;BHATKULI;
26;468;AMRAVATI;4303;1;CHANDUR BZ;
27;468;AMRAVATI;4302;1;CHANDUR RIL;
28;468;AMRAVATI;4304;1;CHIKHALDARA;
29;468;AMRAVATI;4305;1;DARYAPUR;
30;468;AMRAVATI;4306;1;DHAMANGAON RIL;
31;468;AMRAVATI;4307;1;DHARNI;
32;468;AMRAVATI;4308;1;MORSHI;
33;468;AMRAVATI;4309;1;NANDGAON KH;
34;468;AMRAVATI;4310;1;TIWSA;
35;468;AMRAVATI;4311;1;WARUD;
36;469;AURANGABAD;4312;1;AURANGABAD;
37;469;AURANGABAD;4313;1;GANGAPUR;
38;469;AURANGABAD;4314;1;KANAND;kanadgaon(kannad)
39;469;AURANGABAD;4315;1;KHULTABAD;
40;469;AURANGABAD;4316;1;PAITHAN;
41;469;AURANGABAD;4317;1;PHULAMBRI;
42;469;AURANGABAD;4318;1;SILLOD;
43;469;AURANGABAD;4319;1;SOEGAON;
44;469;AURANGABAD;4320;1;VAIJAPUR;
45;470;BEED;4321;1;AMBAJOGAI;
46;470;BEED;4322;1;ASHTI;
47;470;BEED;4323;1;BEED;
48;470;BEED;4324;1;DHARUR;
49;470;BEED;4325;1;GEORAI;
50;470;BEED;4326;1;KAIJ;
51;470;BEED;4327;1;MAJALGAON;
52;470;BEED;4328;1;PARALI V .;
53;470;BEED;4329;1;PATODA;
54;470;BEED;4330;1;SHIRUR ( KA );
55;470;BEED;4331;1;WADWANI;
56;471;BHANDARA;4332;1;BHANDARA;
57;471;BHANDARA;4333;1;LAKHANDUR;
58;471;BHANDARA;4334;1;LAKHANI;
59;471;BHANDARA;4335;1;MOHADI;
60;471;BHANDARA;4336;1;PAUNI;
61;471;BHANDARA;4337;3;SAKOLI;
62;471;BHANDARA;4338;1;TUMSAR;
